model,space,floor_mode,floor_setting,floor_cosine,mean_edge_sim,edges_kept_pct,isolated_nodes,resolution,min_size,n_keywords,n_clusters,n_noise,noise_pct,largest,median_size,clusters_lt_10
embeddinggemma,background,abs,0.7,0.7,0.5602,24.0,6958,8.0,3,19801,657,8406,42.45,194,5,455
embeddinggemma,background,abs,0.7,0.7,0.5602,24.0,6958,8.0,10,19801,202,10365,52.35,194,30,0
embeddinggemma,background,pct,0.0,0.0,0.5602,100.0,0,1.0,1,19801,49,0,0.0,1713,329,0
embeddinggemma,background,pct,0.0,0.0,0.5602,100.0,0,1.0,3,19801,49,0,0.0,1713,329,0
embeddinggemma,background,pct,0.0,0.0,0.5602,100.0,0,1.0,10,19801,49,0,0.0,1713,329,0
embeddinggemma,background,pct,0.0,0.0,0.5602,100.0,0,2.0,1,19801,78,0,0.0,716,224,0
embeddinggemma,background,pct,0.0,0.0,0.5602,100.0,0,2.0,3,19801,78,0,0.0,716,224,0
embeddinggemma,background,pct,0.0,0.0,0.5602,100.0,0,2.0,10,19801,78,0,0.0,716,224,0
embeddinggemma,background,pct,0.0,0.0,0.5602,100.0,0,4.0,1,19801,120,0,0.0,571,152,0
embeddinggemma,background,pct,0.0,0.0,0.5602,100.0,0,4.0,3,19801,120,0,0.0,571,152,0
embeddinggemma,background,pct,0.0,0.0,0.5602,100.0,0,4.0,10,19801,120,0,0.0,571,152,0
embeddinggemma,background,pct,0.0,0.0,0.5602,100.0,0,8.0,1,19801,175,0,0.0,380,96,0
embeddinggemma,background,pct,0.0,0.0,0.5602,100.0,0,8.0,3,19801,175,0,0.0,380,96,0
embeddinggemma,background,pct,0.0,0.0,0.5602,100.0,0,8.0,10,19801,175,0,0.0,380,96,0
embeddinggemma,background,pct,25.0,0.4386,0.5602,75.0,1319,1.0,1,19801,216,1319,6.66,1312,3,157
embeddinggemma,background,pct,25.0,0.4386,0.5602,75.0,1319,1.0,3,19801,122,1507,7.61,1312,9,63
embeddinggemma,background,pct,25.0,0.4386,0.5602,75.0,1319,1.0,10,19801,59,1778,8.98,1312,251,0
embeddinggemma,background,pct,25.0,0.4386,0.5602,75.0,1319,2.0,1,19801,242,1319,6.66,573,3,156
embeddinggemma,background,pct,25.0,0.4386,0.5602,75.0,1319,2.0,3,19801,148,1507,7.61,573,70,62
embeddinggemma,background,pct,25.0,0.4386,0.5602,75.0,1319,2.0,10,19801,86,1768,8.93,573,179,0
embeddinggemma,background,pct,25.0,0.4386,0.5602,75.0,1319,4.0,1,19801,282,1319,6.66,574,5,159
embeddinggemma,background,pct,25.0,0.4386,0.5602,75.0,1319,4.0,3,19801,188,1507,7.61,574,73,65
embeddinggemma,background,pct,25.0,0.4386,0.5602,75.0,1319,4.0,10,19801,123,1786,9.02,574,130,0
embeddinggemma,background,pct,25.0,0.4386,0.5602,75.0,1319,8.0,1,19801,337,1319,6.66,384,17,162
embeddinggemma,background,pct,25.0,0.4386,0.5602,75.0,1319,8.0,3,19801,243,1507,7.61,384,55,68
embeddinggemma,background,pct,25.0,0.4386,0.5602,75.0,1319,8.0,10,19801,175,1808,9.13,384,88,0
embeddinggemma,background,pct,50.0,0.5749,0.5602,50.0,3290,1.0,1,19801,582,3290,16.62,892,2,495
embeddinggemma,background,pct,50.0,0.5749,0.5602,50.0,3290,1.0,3,19801,287,3880,19.59,892,4,200
embeddinggemma,background,pct,50.0,0.5749,0.5602,50.0,3290,1.0,10,19801,87,4679,23.63,892,131,0
embeddinggemma,background,pct,50.0,0.5749,0.5602,50.0,3290,2.0,1,19801,611,3290,16.62,592,3,499
embeddinggemma,background,pct,50.0,0.5749,0.5602,50.0,3290,2.0,3,19801,316,3880,19.59,592,5,204
embeddinggemma,background,pct,50.0,0.5749,0.5602,50.0,3290,2.0,10,19801,112,4705,23.76,592,100,0
embeddinggemma,background,pct,50.0,0.5749,0.5602,50.0,3290,4.0,1,19801,660,3290,16.62,386,3,509
embeddinggemma,background,pct,50.0,0.5749,0.5602,50.0,3290,4.0,3,19801,365,3880,19.59,386,6,214
embeddinggemma,background,pct,50.0,0.5749,0.5602,50.0,3290,4.0,10,19801,151,4757,24.02,386,80,0
embeddinggemma,background,pct,50.0,0.5749,0.5602,50.0,3290,8.0,1,19801,720,3290,16.62,269,3,522
embeddinggemma,background,pct,50.0,0.5749,0.5602,50.0,3290,8.0,3,19801,425,3880,19.59,269,7,227
embeddinggemma,background,pct,50.0,0.5749,0.5602,50.0,3290,8.0,10,19801,198,4828,24.38,269,60,0
qwen3_06b,raw,abs,0.0,0.0,0.8349,100.0,0,1.0,1,19801,43,0,0.0,1811,341,0
qwen3_06b,raw,abs,0.0,0.0,0.8349,100.0,0,1.0,3,19801,43,0,0.0,1811,341,0
qwen3_06b,raw,abs,0.0,0.0,0.8349,100.0,0,1.0,10,19801,43,0,0.0,1811,341,0
qwen3_06b,raw,abs,0.0,0.0,0.8349,100.0,0,2.0,1,19801,70,0,0.0,1041,240,0
qwen3_06b,raw,abs,0.0,0.0,0.8349,100.0,0,2.0,3,19801,70,0,0.0,1041,240,0
qwen3_06b,raw,abs,0.0,0.0,0.8349,100.0,0,2.0,10,19801,70,0,0.0,1041,240,0
qwen3_06b,raw,abs,0.0,0.0,0.8349,100.0,0,4.0,1,19801,101,0,0.0,598,188,0
qwen3_06b,raw,abs,0.0,0.0,0.8349,100.0,0,4.0,3,19801,101,0,0.0,598,188,0
qwen3_06b,raw,abs,0.0,0.0,0.8349,100.0,0,4.0,10,19801,101,0,0.0,598,188,0
qwen3_06b,raw,abs,0.0,0.0,0.8349,100.0,0,8.0,1,19801,158,0,0.0,363,118,0
qwen3_06b,raw,abs,0.0,0.0,0.8349,100.0,0,8.0,3,19801,158,0,0.0,363,118,0
qwen3_06b,raw,abs,0.0,0.0,0.8349,100.0,0,8.0,10,19801,158,0,0.0,363,118,0
qwen3_06b,raw,abs,0.5,0.5,0.8349,99.9,1,1.0,1,19801,45,1,0.01,1784,309,0
qwen3_06b,raw,abs,0.5,0.5,0.8349,99.9,1,1.0,3,19801,45,1,0.01,1784,309,0
